state,percent_own_passport,percent_voted_trump
Alabama,0.22,0.62
Alaska,0.55,0.51
Arizona,0.4,0.48
Arkansas,0.22,0.61
California,0.52,0.31
Colorado,0.48,0.43
Connecticut,0.55,0.41
Delaware,0.55,0.42
Florida,0.45,0.49
Georgia,0.34,0.50
Hawaii,0.47,0.30
Idaho,0.35,0.59
Illinois,0.47,0.38
Indiana,0.29,0.56
Iowa,0.34,0.51
Kansas,0.34,0.56
Kentucky,0.23,0.63
Louisiana,0.25,0.58
Maine,0.44,0.45
Maryland,0.5,0.34
Massachusetts,0.58,0.33
Michigan,0.36,0.47
Minnesota,0.48,0.45
Mississippi,0.17,0.58
Missouri,0.31,0.56
Montana,0.39,0.56
Nebraska,0.34,0.59
Nevada,0.4,0.46
New Hampshire,0.52,0.46
New Jersey,0.62,0.41
New Mexico,0.32,0.40
New York,0.59,0.37
North Carolina,0.3,0.50
North Dakota,0.39,0.63
Ohio,0.32,0.51
Oklahoma,0.28,0.65
Oregon,0.41,0.39
Pennsylvania,0.4,0.48
Rhode Island,0.49,0.39
South Carolina,0.4,0.55
South Dakota,0.32,0.62
Tennessee,0.26,0.61
Texas,0.4,0.52
Utah,0.42,0.45
Vermont,0.49,0.30
Virginia,0.44,0.44
Washington,0.49,0.37
West Virginia,0.19,0.68
Wisconsin,0.38,0.47
Wyoming,0.36,0.68